admission_id,First Name,Middle Name,Surname,Email,Address,Phone Number,Course Assigned,Date of birth,Gender,Father's Name,Mother's Name,Parent's Contact,Father's Email,Year Assigned,Reason For Dormant,Record Status,Letter status
20120193,Michael,,Barrett,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120197,Laura,,Woolston,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120206,Paul,,Neal,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120209,Michael,,Mathias,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120210,Michael,,Redmond,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
20120215,Kapil,,Wood,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,2,,provisional,conditional
20120216,Michael,,Bradley,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120221,Mario,,Abdillah,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120223,Michael,,Broughton,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120224,Melissa,,Lee,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120227,Peter,,Vinitchaikul,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
20120230,Lukman,,Mcgregor,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,2,,provisional,conditional
20120232,Matthew,,Patel,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120236,Nassir,,Begum,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120237,Micheal,,Macdonald,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120244,Justin,,Brown,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120249,Matthew,,Norman,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
20120250,Michelle,,Baban,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,2,,provisional,conditional
20120254,Mohammad,,Albert,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120267,Julie,,Beeby,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120270,Kenny,,Ahmed,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120271,Kieran,,Abdillah,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120275,Laura,,Wood,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
20120278,Lalita,,Sonagara,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,2,,provisional,conditional
20120285,Luke,,Lloyd,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120287,Mathew,,Barrios,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120292,Matthew,,Patel,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120299,Michael,,Horton,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120300,Michael,,Lee,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
20120301,Michael,,Vartanian,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,2,,provisional,conditional
20120303,Michael,,Ricci,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120306,Michael,,Miller,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120310,Marie,,Cox,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120312,Mark,,Collis,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120316,Kai,,Bradley,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
20120317,Justin,,Barrett,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,2,,provisional,conditional
20120321,Paul,,James,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120323,Oliver,,Muna,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120327,Kevin,,Vokes,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120332,Kieran,,Broughton,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120342,Peter,,Bevins,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
20120347,Melissa,,Walia,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,2,,provisional,conditional
20120352,Mark,,Wright,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120355,Mathew,,Harwood,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120357,Michael,,Porter,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120359,Kevin,,Thomas,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120361,Luke,,Miller,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
20120363,Mohammad,,Horne,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,2,,provisional,conditional
20120366,Paul,,Knight,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120367,Marie,,Shen,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120368,Mandeep,,Barnes,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120369,Matthew,,Chinner,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120370,Micheal,,Chong,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
20120371,Miao miao,,Zheng,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,2,,provisional,conditional
20120380,Lukman,,Zheng,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,2,,provisional,conditional
20120381,Kenny,,Christie,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,2,,provisional,conditional
20120383,Kai,,Baban,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,2,,provisional,unconditional
20120385,Nassir,,Caudle,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,2,,provisional,unconditional
20120394,Kirsty,,Halstead,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,2,,provisional,unconditional
